Wall time,Step,Value
1601203932.6297932,7458,-104.86219787597656
1601203942.9715886,7460,-34.456390380859375
1601203964.122236,7464,-140.50660705566406
1601204079.8932595,7486,-181.758544921875
1601204090.3971336,7488,-187.43199157714844
1601204385.9111445,7545,-136.20054626464844
1601204474.453863,7562,-103.24111938476562
1601204541.8085544,7575,-194.89608764648438
1601204636.7023973,7593,-150.09498596191406
1601204716.1740067,7608,-117.41283416748047
1601204818.213488,7627,-141.00241088867188
1601204937.1478925,7650,-202.93019104003906
1601204942.6535323,7651,-66.24617767333984
1601205012.9142394,7665,-131.917236328125
1601205095.885793,7681,-176.38726806640625
1601205272.5768497,7715,-178.84593200683594
1601205293.2816632,7719,-172.63803100585938
1601205412.7713208,7742,-82.04936218261719
1601205520.9262018,7763,-46.7477912902832
1601205626.1302037,7783,-187.82237243652344
1601205821.1589413,7820,-169.855712890625
1601205853.3540776,7826,-61.92985534667969
1601205936.2957227,7842,-126.23321533203125
1601206048.0296807,7863,23.82903289794922
1601206235.330338,7899,-87.3851547241211
1601206376.7403007,7926,-40.67683792114258
1601206413.7950587,7933,-60.20817565917969
1601206440.877697,7938,-141.32472229003906
1601206588.1936765,7966,-196.7284393310547
1601206842.4592533,8015,-210.21502685546875
1601206947.1659226,8035,-222.423095703125
1601206957.9465744,8037,-188.33255004882812
1601207006.0807543,8046,-227.85025024414062
1601207369.3170595,8115,-11.948031425476074
1601207574.5040324,8155,-123.33324432373047
1601207637.9977624,8167,-84.45204162597656
1601207648.1091955,8169,-134.56072998046875
1601207663.370602,8172,-150.39166259765625
1601207827.7591987,8203,-106.54705047607422
1601207903.6845512,8218,-259.1016540527344
1601208050.6492352,8246,-209.7975311279297
1601208220.247826,8279,-207.677490234375
1601208240.3512712,8283,-186.46710205078125
1601208536.567397,8341,-176.04212951660156
1601208552.4429586,8344,-57.40243148803711
1601208589.2061052,8351,-148.1790313720703
1601208605.8417478,8354,-206.42909240722656
1601208625.6162188,8358,-78.66300964355469
1601208656.687835,8364,-131.01602172851562
1601208727.3685496,8378,-95.6187744140625
1601208788.7242467,8390,-237.83535766601562
1601208825.3251083,8397,-108.8576889038086
1601208861.465514,8404,-221.14047241210938
1601208944.0460503,8420,-142.02244567871094
1601209024.4536092,8435,-176.4080352783203
1601209057.1362915,8441,-230.36219787597656
1601209139.2992458,8457,-160.70567321777344
1601209249.6309907,8478,-113.55445861816406
1601209275.198638,8483,-30.10451889038086
1601209285.5566306,8485,-117.31546783447266
1601209322.5999231,8492,-92.5709457397461
1601209570.1256764,8540,-26.957157135009766
1601209722.734012,8569,-132.9665985107422
1601209781.5313802,8580,-124.36259460449219
1601209792.1727598,8582,-92.50418853759766
1601209870.4536405,8597,-141.54116821289062
1601209896.5157688,8602,-144.564697265625
1601209981.7402625,8618,-846.6990356445312
1601210027.2611885,8627,-79.63134765625
1601210159.4414787,8652,-97.00712585449219
1601210259.7077508,8671,-86.37065124511719
1601210458.38526,8709,-98.41291046142578
1601210485.224702,8714,-74.60873413085938
1601210654.5958638,8746,-120.60029602050781
1601210665.0687125,8748,-178.6459503173828
1601210860.3628092,8786,-216.5719451904297
1601210932.14725,8800,-117.4594955444336
1601211110.2066362,8834,-108.1198501586914
1601211232.890454,8857,-135.74879455566406
1601211254.1025603,8861,-148.72056579589844
1601211312.0162113,8872,-175.1504364013672
1601211317.0483825,8873,-82.02201080322266
1601211337.4354432,8877,-194.2096405029297
1601211347.7056222,8879,-90.31465911865234
1601211512.1768804,8910,-25.43898582458496
1601211570.844617,8921,-115.57604217529297
1601211585.9630692,8924,-151.763427734375
1601211624.5710597,8931,-185.8472900390625
1601211651.7125976,8936,-199.62652587890625
1601211672.0984697,8940,-122.8324203491211
1601211825.7269886,8970,-132.7144317626953
1601211908.1293826,8986,-74.46443176269531
1601211929.7864718,8990,-169.8771514892578
1601211940.487792,8992,-162.72755432128906
1601212318.9375598,9065,-113.95809936523438
1601212378.3558922,9076,-156.41207885742188
1601212451.8010578,9090,-149.893310546875
1601212500.1124132,9099,-108.42048645019531
1601212543.6367528,9107,-177.86749267578125
1601212622.9475887,9122,-93.18936920166016
1601212648.9413111,9127,-128.11805725097656
1601212653.929032,9128,-97.8700942993164
1601212766.0162976,9149,-178.537353515625
1601212852.6546555,9165,-206.77333068847656
1601213176.4499717,9227,-176.1038818359375
1601213217.924292,9235,-62.551387786865234
1601213345.4188898,9259,-159.00344848632812
1601213433.4003725,9276,-132.66883850097656
1601213485.9882035,9286,-97.63919830322266
1601213636.940694,9315,-61.916038513183594
1601213694.1018648,9326,-90.17884063720703
1601213746.082741,9336,-54.53420639038086
1601213950.8981755,9375,-138.64279174804688
1601213998.1464574,9384,-217.2584686279297
1601214018.8860395,9388,-104.6930923461914
1601214050.6217883,9394,-60.72880172729492
1601214094.2942147,9402,-92.40950775146484
1601214177.4552994,9418,-98.54258728027344
1601214284.511619,9438,-190.40139770507812
1601214315.1615574,9444,-97.79507446289062
1601214731.5186481,9523,-139.06724548339844
1601214742.2409093,9525,-237.7509765625
1601214827.4770877,9541,-139.63270568847656
1601214832.514812,9542,-194.8485870361328
1601214914.1687477,9558,-128.05055236816406
1601214983.1412313,9571,-179.41250610351562
1601215306.4750545,9633,-161.56582641601562
1601215380.223284,9647,-167.3083953857422
1601215551.8178203,9680,-39.43853759765625
1601215568.2706275,9683,-115.94776153564453
1601215611.1542473,9691,-949.7166748046875
1601215688.7018864,9706,-51.535099029541016
1601215829.089876,9733,-134.07054138183594
1601215844.299464,9736,-136.7831573486328
1601215859.2802148,9739,-103.49880981445312
1601215958.4349656,9758,-71.06525421142578
1601215968.7681108,9760,-73.2038803100586
1601216066.3987086,9779,-130.08155822753906
1601216097.3235493,9785,-104.7706527709961
1601216168.7559063,9799,-203.75152587890625
1601216325.4496973,9829,-90.91638946533203
1601216357.7699335,9835,-261.9179382324219
1601216373.5021598,9838,-126.66712951660156
1601216491.645356,9860,-181.61444091796875
1601216554.2649267,9872,-74.05842590332031
1601216639.2043853,9888,-144.43826293945312
1601216676.744889,9895,-129.3597869873047
1601216713.6203413,9902,-101.3960189819336
1601216851.5905592,9928,-157.38198852539062
1601216898.259372,9937,-135.97918701171875
1601216930.8445659,9943,-124.16686248779297
1601216974.4886224,9951,-228.7823486328125
1601217098.8719308,9974,-80.98855590820312
1601217229.2931914,9998,-209.03253173828125
1601217250.2566464,10002,-73.22608947753906
1601217299.554487,10011,-168.08123779296875
1601217508.6591194,10050,-5.7992329597473145
1601217558.7312415,10059,-103.75360870361328
1601217627.0871599,10072,-195.9180908203125
1601217638.289028,10074,-221.25283813476562
1601217846.2973678,10113,-100.89089965820312
1601217899.642702,10123,-167.9521484375
1601217946.9122233,10132,-83.63002014160156
1601217973.3572598,10137,-199.15850830078125
1601218062.75591,10154,-26.294883728027344
1601218116.1312356,10164,-74.01459503173828
1601218194.9864545,10179,-158.7314910888672
1601218264.4526677,10192,-85.03263092041016
1601218302.650622,10199,-90.06593322753906
1601218383.9058242,10214,-164.3738250732422
1601218411.86396,10219,-170.02700805664062
1601218474.648448,10231,-171.5703125
1601218521.7059674,10240,-180.5418243408203
1601218571.9929636,10249,-100.0335693359375
1601218853.2326593,10301,-78.92588806152344
1601218885.733259,10307,-149.81930541992188
1601218923.9288478,10314,-149.40542602539062
1601218992.662902,10327,-84.23945617675781
1601219064.372105,10340,-89.33448791503906
1601219210.1311548,10367,-110.42965698242188
1601219257.5839677,10376,-35.44975662231445
1601219274.052452,10379,-131.42738342285156
1601219347.0126975,10392,-153.93966674804688
1601219368.560565,10396,-121.0601577758789
1601219374.1055746,10397,-40.40245056152344
1601219455.5064533,10412,-153.47772216796875
1601219460.627365,10413,-114.2142333984375
1601219515.2367506,10423,-200.74276733398438
1601219783.848473,10472,-180.2220458984375
1601219831.6571498,10481,-99.70513153076172
1601219907.236187,10495,-131.8428192138672
1601219961.4518135,10505,-212.7532958984375
1601220123.4423015,10535,-110.67533111572266
1601220182.059701,10546,-93.97721099853516
